mask & 2 & 5.1  & Execution Control and Debugging \\
target & 1459 & 4.0  & Teams and Distribution \\
sections & 89 & 1.0  & Parallel Control \\
depobj & 7 & 5.0  & Memory Allocation and Management \\
taskloop & 160 & 3.2  & Parallel Control; Loop; Task \\
master & 407 & 1.0  & Parallel Control \\
scope & 7 & 5.1  & Execution Control and Debugging \\
critical & 487 & 1.0  & Synchronization \\
single & 770 & 1.0  & Parallel Control \\
loop & 47 & 5.0  & Parallel Control; Loop \\
parallel for simd & 69 & 4.5  & Parallel Control; Loop; SIMD \\
threadprivate & 85 & 2.0  & Data Privacy and Sharing \\
parallel for & 4112 & 1.0  & Parallel Control; Loop \\
requires & 37 & 4.5  & Metaprogramming and Requirements \\
assume & 11 & 5.1  & Metaprogramming and Requirements \\
taskgroup & 44 & 3.3  & Synchronization; Task \\
atomic & 1339 & 2.0  & Synchronization \\
barrier & 982 & 1.0  & Synchronization \\
section & 473 & 1.0  & Parallel Control \\
for simd & 7 & 4.5  & Parallel Control; Loop; SIMD \\
for & 2259 & 1.0  & Parallel Control; Loop \\
taskloop simd & 18 & 4.5  & Parallel Control; Loop; Task; SIMD \\
simd & 1032 & 4.0  & Parallel Control; Loop; SIMD \\
ordered & 122 & 2.0  & Synchronization \\
declare & 251 & 5.0  & Metaprogramming and Requirements \\
metadirective & 9 & 5.0  & Metaprogramming and Requirements \\
allocate & 4 & 5.0  & Memory Allocation and Management \\
teams & 78 & 4.5  & Teams and Distribution \\
task & 2130 & 3.0  & Parallel Control; Task \\
flush & 114 & 2.0  & Synchronization \\
error & 5 & 5.1  & Execution Control and Debugging \\
tile & 2 & 5.1  & Parallel Control; Loop \\
parallel sections & 113 & 1.0  & Parallel Control \\
parallel & 7024 & 1.0  & Parallel Control \\
distribute & 29 & 4.5  & Parallel Control \\
taskwait & 522 & 3.1  & Synchronization; Task \\
taskyield & 3 & 3.4  & Synchronization; Task \\
